Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1997","39.32","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1998","41.83","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1999","68.42","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2000","68.49","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2001","76.09","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2002","76.09","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2003","79.14","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2004","97.50","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2005","95.30","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2006","107.19","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2007","115.28","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2008","134.69","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2009","163.60","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2010","155.03","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2011","196.21","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2012","209.26","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2013","230.09","Fc","Calculated data"
"PI","Producer Price Indices - Annual","18","Bhutan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2014","247.00","Fc","Calculated data"
"PI","Producer Price Indices - Annual","19","Bolivia (Plurinational State of)","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1991","65.52","Fc","Calculated data"
"PI","Producer Price Indices - Annual","19","Bolivia (Plurinational State of)","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1992","75.60","Fc","Calculated data"
