N,price,dividend
708,137.4825581,6.231686047
709,140.2897661,6.268128655
710,149.955,6.305
711,156.5307692,6.342307692
712,165.49,6.305
713,156.5307692,6.342307692
714,141.5452381,6.445833333
715,140.1885542,6.523493976
716,139.23,6.563030303
717,138.3246988,6.523493976
718,120.009697,6.563030303
719,111.9823171,6.60304878
720,106.4506211,6.726086957
721,111.0559748,6.741194969
722,121.0573248,6.686305732
723,124.1708333,6.658333333
724,113.0664516,6.63
725,103.4944444,6.572222222
726,101.4990066,6.586092715
727,104.8652318,6.512913907
728,101.718543,6.366556291
729,87.14766667,6.335333333
730,76.01510067,6.303691275
731,78.10170068,6.239115646
732,63.87808219,6.206164384
733,64.13636364,6.104545455
734,64.49751773,6.034397163
735,65.195,5.840714286
736,49.92374101,5.644244604
737,44.4419708,5.565328467
738,38.75625,5.3625
739,40.70625,5.11875
740,61.63444444,4.992962963
741,68.1141791,4.782835821
742,59.15488722,4.569548872
743,59.01704545,4.436742424
744,57.52748092,4.217557252
745,60.73217054,4.282945736
746,54.37992126,4.263385827
747,54.63611111,4.297222222
748,60.42420635,4.20952381
749,77.78849206,4.20952381
750,90.4011811,4.089370079
751,94.72633588,3.964503817
752,89.32083333,3.850757576
753,88.56742424,3.850757576
754,79.94507576,3.767045455
755,81.87045455,3.767045455
756,83.46098485,3.683333333
757,88.23257576,3.683333333
758,94.04962406,3.655639098
759,89.23082707,3.655639098
760,90.72631579,3.655639098
761,81.50413534,3.655639098
762,81.96791045,3.710820896
763,78.09216418,3.710820896
764,75.04104478,3.710820896
765,72.15,3.65625
766,73.25740741,3.683333333
767,75.3037037,3.683333333
768,76.36044776,3.710820896
769,75.2375,3.65625
770,72.42992701,3.629562044
771,67.83248175,3.629562044
772,72.38550725,3.60326087
773,78.07065217,3.523188406
774,81.62481752,3.548905109
775,85.89963504,3.548905109
776,91.70693431,3.548905109
777,93.64270073,3.548905109
778,96.14306569,3.629562044
779,104.4144928,3.683333333
780,104.4144928,3.763405797
781,110.1797101,3.843478261
782,116.5054348,3.923550725
783,119.8562044,4.032846715
784,120.0175182,4.194160584
785,113.6456204,4.274817518
786,117.6264493,4.403985507
787,123.6964029,4.531294964
788,125.2596429,4.656785714
789,126.6803571,4.814642857
790,133.3103571,5.130357143
791,137.02,5.367142857
792,134.6521429,5.682857143
793,137.8507092,5.720921986
794,141.9258865,5.79929078
795,140.7707746,5.836267606
796,131.4409091,6.027272727
797,124.6961806,6.215625
798,120.0152778,6.445833333
799,126.2748276,6.248965517
800,127.5703448,6.020344828
801,108.7592466,5.827739726
802,92.94109589,5.903424658
803,85.35172414,6.020344828
804,84.56319444,6.138888889
805,88.01091549,6.147535211
806,86.51914894,6.191134752
807,80.79822695,6.112765957
808,76.96091549,5.991901408
809,78.21205674,5.877659574
810,80.01453901,5.79929078
811,95.92340426,5.564184397
812,96.47198582,5.407446809
813,92.08333333,5.172340426
814,103.0807143,4.814642857
815,103.1596429,4.42
816,100.1603571,4.025357143
817,98.66071429,4.025357143
818,98.57553957,4.13381295
819,98.49604317,4.13381295
820,86.71847826,4.163768116
821,89.92137681,4.24384058
822,91.52282609,4.24384058
823,93.76485507,4.323913043
824,92.40362319,4.403985507
825,100.0769504,4.388652482
826,101.8178571,4.577857143
827,100.0025,4.735714286
828,97.63464286,4.893571429
829,97.78057554,4.928776978
830,96.45071429,4.9725
831,95.89821429,4.9725
832,96.84535714,5.051428571
833,83.50642857,5.051428571
834,75.78262411,5.093971631
835,78.84964286,5.209285714
836,80.50714286,5.209285714
837,83.90107143,5.288214286
838,84.69035714,5.288214286
839,86.66357143,5.288214286
840,82.52234043,5.25070922
841,82.67907801,5.25070922
842,77.50673759,5.329078014
843,77.4278169,5.291549296
844,74.49090909,5.254545455
845,72.36215278,5.294791667
846,73.36598639,5.186734694
847,77.1244898,5.186734694
848,75.71845638,5.191275168
849,74.93509934,5.122516556
850,70.99444444,5.055555556
851,67.23279221,5.094480519
852,62.45032258,5.061612903
853,62.85127389,4.926751592
854,60.49525316,4.89556962
855,56.493125,4.7653125
856,53.80869565,4.667080745
857,53.75858896,4.54202454
858,56.4702454,4.474233129
859,58.21463415,4.379573171
860,57.5269697,4.219090909
861,58.12969697,4.152121212
862,61.66826347,4.036227545
863,62.28779762,3.946428571
864,62.24615385,3.857692308
865,65.97307692,3.857692308
866,69.89615385,3.857692308
867,71.11831395,3.790406977
868,72.65057471,3.74683908
869,75.07685714,3.725428571
870,76.40285714,3.725428571
871,78.4295977,3.74683908
872,74.9867052,3.832369942
873,76.1433908,3.810344828
874,75.44482759,3.810344828
875,71.95201149,3.873850575
876,72.9045977,3.873850575
877,75.25431034,3.873850575
878,74.74626437,3.937356322
879,76.84195402,3.937356322
880,75.07685714,3.914857143
881,76.40285714,3.978
882,79.54744318,3.955397727
883,81.15819209,3.933050847
884,79.9720339,3.995480226
885,78.66101695,3.995480226
886,80.59632768,3.995480226
887,80.03446328,3.995480226
888,81.32303371,3.973033708
889,83.74410112,3.973033708
890,86.53764045,4.03511236
891,86.4755618,4.03511236
892,88.64831461,4.03511236
893,91.48659218,4.012569832
894,92.12403315,3.968232044
895,90.23149171,3.968232044
896,90.53674033,4.029281768
897,96.70276243,4.029281768
898,100.7320442,4.029281768
899,104.0287293,4.029281768
900,105.2178571,4.007142857
901,109.4071429,4.067857143
902,110.3168508,4.090331492
903,105.8505464,4.106010929
904,112.061413,4.083695652
905,111.6945946,4.061621622
906,109.7909091,4.018181818
907,100.7335859,3.794949495
908,96.82425743,3.77450495
909,81.7375,3.7375
910,78.359375,3.71875
911,76.20868545,3.631455399
912,77.76116279,3.649069767
913,78.17232558,3.649069767
914,81.20465116,3.700465116
915,76.49223744,3.632876712
916,73.66666667,3.683333333
917,72.35479452,3.784246575
918,74.53727273,3.817272727
919,78.49481982,3.832657658
920,75.92577778,3.830666667
921,72.35347826,3.795434783
922,74.22717391,3.891521739
923,73.04480519,3.922510823
924,70.975,3.966666667
925,69.14409283,3.916455696
926,66.3,3.996808511
927,67.52777778,4.013888889
928,71.5,3.946428571
929,74.66841004,3.929916318
930,77.12074689,3.897302905
931,74.36106557,3.894672131
932,71.89265306,3.87877551
933,71.08081633,3.923877551
934,73.31946721,4.030532787
935,69.81590909,4.155165289
936,69.64709544,4.264107884
937,70.72,4.373958333
938,68.575,4.457142857
939,69.225,4.55
940,68.84288703,4.577196653
941,68.62142857,4.689285714
942,64.58933054,4.715899582
943,68.81772152,4.802320675
944,70.98928571,4.782142857
945,71.61694561,4.808368201
946,74.08628692,4.988818565
947,74.79642857,5.153571429
948,77.44364407,5.337711864
949,79.37191489,5.407446809
950,80.92361702,5.454468085
951,81.23622881,5.478177966
952,83.53050847,5.525
953,85.97552743,5.548312236
954,87.00714286,5.571428571
955,79.68838174,5.685477178
956,83.80720165,5.866049383
957,86.40737705,6.023155738
958,89.25345528,6.198780488
959,88.71315789,6.352631579
960,87.295,6.4974
961,92.27185039,6.482086614
962,94.59143969,6.449416342
963,92.64011628,6.510077519
964,93.88217054,6.552906977
965,93.56235521,6.612934363
966,91.94111969,6.655598456
967,93.56235521,6.612934363
968,97.65810811,6.527606178
969,99.40766284,6.435249042
970,98.5221374,6.241984733
971,95.05511364,6.069128788
972,97.61528302,5.879433962
973,100.8677358,5.879433962
974,99.78612167,5.966159696
975,100.0382129,5.966159696
976,99.36628788,5.985416667
977,99.32443182,6.027272727
978,101.66,6.046226415
979,103.7955056,6.00093633
980,104.2093633,6.00093633
981,102.5539326,6.00093633
982,100.4018727,5.959550562
983,103.5885768,5.876779026
984,107.7685393,5.835393258
985,108.7552632,5.857330827
986,107.8313208,5.879433962
987,107.9659774,5.857330827
988,102.6486842,5.857330827
989,102.8022472,5.876779026
990,98.74906716,5.854850746
991,100.1509328,5.854850746
992,100.1894052,5.833085502
993,95.58866171,5.833085502
994,98.09944444,5.852407407
995,100.6412639,5.915241636
996,101.9968401,5.956319703
997,104.5847584,5.99739777
998,106.8851301,5.99739777
999,109.1444238,6.038475836
1000,113.9222015,6.019776119
1001,118.0172862,5.99739777
1002,118.9620818,5.956319703
1003,123.7682156,5.99739777
1004,126.2328996,5.99739777
1005,129.6725746,6.061007463
1006,132.6824627,6.143470149
1007,137.8776119,6.267164179
1008,144.72603,6.37340824
1009,147.3333333,6.414794007
