,KS p-value normal,KS p-value student,KS p-value stable,t-Student nu,levy alpha,levy beta,levy mu,levy sigma,levy neglog
ALVIV.PA,1.7304697389824855e-09,3.168412958156817e-09,2.320018394906853e-116,7.244726562500013,0.9766356010339915,0.08322426750943686,-0.06425153845484173,0.28391508081619937,1093.618913453224
ALCLA.PA,3.930367593659062e-38,1.5506998215943162e-34,4.691019032648969e-55,6.3439453125000105,0.5,0.05663113288527957,-0.020139994552382003,0.04324477961320526,2179.7781559714276
ALVEL.PA,4.500238891512617e-14,7.635750307185653e-12,3.5874989540284034e-07,8.339062500000017,1.4354980102545112,0.05002150008554572,-0.03757608012561405,0.46853388398436996,3617.7221386515066
ALFPC.PA,1.3354842833561359e-24,3.1833344752572507e-24,1.365621387866859e-18,7.530468750000014,1.1865194027865746,0.03851211777878276,-0.061517600107340996,0.30630989911582784,2867.157436008062
ALGBE.PA,1.5907114585817368e-21,9.740568295197417e-39,3.1841143219353152e-18,5.987304687500011,0.5377938896813639,-0.13147053450437296,-0.013355210243469891,0.10781450990133894,1532.1975193279814
TEIF.PA,6.721191205504902e-25,4.737264973201548e-27,0.01550117292540407,6.856152343750011,1.1682293638309487,0.011646786676279514,0.0027507155145001898,0.3222261395652586,3209.669121273027
MRM.PA,6.59713983129522e-98,2.971487386671479e-93,1.1838232204364277e-196,5.134765625000009,0.6912604451085622,-0.053977367398434735,0.028924388253310163,2.1078288320665686e-05,-5275.1893206282575
FMU.PA,8.081714703765131e-14,1.8615513855129796e-11,0.012995887056573046,8.504882812500018,1.4379849505420246,-0.0037793128517167357,0.001966373886478083,0.4691820307032175,3661.2062085442813
SELER.PA,3.4356177100573005e-93,3.294718887384695e-111,6.811842554268122e-249,5.66308593750001,0.5310072457008631,0.3316237847181701,-0.023339212011840017,8.896155920744985e-06,-2742.618574310538
CBSM.PA,1.8413632935409784e-30,9.081841472458696e-34,5.389647632060678e-65,6.654687500000012,0.5,0.05961461952612765,-0.012345297572652372,0.060557619369329435,2527.8345072016714
SFPI.PA,4.969732516546931e-21,1.9692444072256466e-21,3.6167574330336063e-13,6.00234375000001,0.5,-0.06359014121783803,-0.03774046777688896,0.0367070706864981,446.16064459479907
FR0013053329=,0.01800792405276624,0.11387474272892824,0.002266808927310395,11.579199218750025,1.6540038562394594,0.4777313907105287,-0.1231399337667562,0.5666392901737444,737.9759584745913
FR017040057=,2.303051050359388e-37,2.095836482689243e-43,0.28573435067751607,7.846777343750016,1.2830867404431865,-0.014756079940859175,-0.024078313345186023,0.2978650130421026,2739.587450682323
FR098730559=,3.46376423425927e-31,6.404520570051079e-34,0.0,5.199804687500008,0.999964314061212,0.14775117555700526,-0.04148162580487558,0.16852284967768785,784.8466037816795
FR050892026=,7.977274631325957e-143,9.248752348213166e-129,3.6156222097129613e-11,10.745703125000023,1.0613902937389699,-0.034508878899422064,-0.0006285843486675152,0.024738674101743036,-2140.157409485246
FR071957756=,2.138295432578773e-108,6.856253653376459e-112,3.9786352950240765e-05,7.379785156250014,0.846502920458365,-0.043522689447641,0.029150056540583842,0.014532944954389384,-2365.3003388915754
FR076241066=,9.093465070422696e-86,2.7858111523055404e-82,3.717016764919264e-11,6.717285156250012,0.9286330433514589,-0.03428428679657165,-0.020211584489874406,0.038827760427249704,-942.4029132986091
FR0011703776=,0.00489065925768581,0.004890659257685788,0.10387273721959091,10.115527343750019,1.6095034170678113,0.22235166380138327,-0.06015903652955473,0.5437953713982241,1355.5122714971708
AMEBA.PA,4.556340306394434e-09,1.2680212191415942e-06,1.0075630098480055e-07,7.129296875000012,1.3689075142750176,0.29640745014700326,-0.12588814124305175,0.36750222653940046,706.9177782675538
FR0010817452=,4.83805596296702e-28,2.2508430744981904e-32,0.39062131827779434,5.993457031250012,1.2401838204633246,0.011697997373492816,-0.03119263590802984,0.27403923372660344,1792.6653426030011
FR0012188456=,1.0883664233236826e-12,3.641256794184456e-10,0.27331494911505405,6.768066406250012,1.2668551681381552,0.009785351938486331,-0.030105493046763444,0.3107437288600741,806.6334315675625
FR0012278539=,0.018669084819939348,0.0023876159496193537,0.10042336262126482,7.793066406250015,1.3806314030558355,-0.03170193977555899,-0.0019586413058814787,0.4385982513476137,449.28946552717025
XS100520796=1M,7.353328857431866e-19,1.511662438551314e-17,3.168374549674005e-39,6.396289062500011,0.5,0.02155168319529446,-0.01540969431866106,4.5607994713354226e-05,91.03804603355724
FR102895088=,1.587174432251543e-06,1.0488595834121133e-08,0.0020898611998496084,7.275976562500013,1.2088094751179934,-0.00019820017566507542,0.0037524333549061725,0.3400793470331769,888.5908470343416
FR102895614=,7.190923027008323e-13,7.767167078803449e-12,0.09292128074385302,7.330078125000012,1.4335818750696983,0.07050672742272447,-0.06183395899972459,0.33478489989649196,964.2844872396294
