country,year,loggdp,loginv,logpop,loghcap
FRA,1970,-3.874817,-1.433971,17.26965,2.168819
FRA,1971,-3.837689,-1.418837,17.27925,2.180114
FRA,1972,-3.80325,-1.416497,17.28816,2.191409
FRA,1973,-3.758962,-1.396508,17.29684,2.202704
FRA,1974,-3.73649,-1.374748,17.30499,2.213998
FRA,1975,-3.745908,-1.44125,17.31162,2.225293
FRA,1976,-3.711204,-1.44916,17.31848,2.230719
FRA,1977,-3.687035,-1.493483,17.32598,2.236146
FRA,1978,-3.661169,-1.516889,17.33307,2.241572
FRA,1979,-3.634208,-1.510087,17.34078,2.246998
FRA,1980,-3.626785,-1.475929,17.35124,2.252428
FRA,1981,-3.626115,-1.501989,17.36501,2.258414
FRA,1982,-3.61188,-1.542377,17.37897,2.26454
FRA,1983,-3.602824,-1.608848,17.39145,2.270805
FRA,1984,-3.598263,-1.642518,17.40263,2.277195
FRA,1985,-3.585852,-1.654867,17.41022,2.283728
FRA,1986,-3.566828,-1.646227,17.41526,2.287482
FRA,1987,-3.549776,-1.616012,17.42114,2.291858
FRA,1988,-3.510411,-1.574041,17.42716,2.295712
FRA,1989,-3.477123,-1.547268,17.43254,2.300182
FRA,1990,-3.45239,-1.536487,17.43442,2.307184
FRA,1991,-3.443697,-1.556058,17.43822,2.314929
FRA,1992,-3.428405,-1.605203,17.44057,2.328779
FRA,1993,-3.441868,-1.678917,17.44298,2.338666
FRA,1994,-3.423805,-1.691593,17.44505,2.348562
FRA,1995,-3.404362,-1.707233,17.44739,2.358757
FRA,1996,-3.396291,-1.7205,17.45004,2.367708
FRA,1997,-3.377136,-1.746311,17.45279,2.37058
FRA,1998,-3.345547,-1.720746,17.45534,2.373444
FRA,1999,-3.31724,-1.673207,17.45889,2.380407
FRA,2000,-3.283014,-1.635357,17.46412,2.386586
FRA,2001,-3.270717,-1.635572,17.4702,2.391612
FRA,2002,-3.267003,-1.672712,17.4767,2.397713
FRA,2003,-3.262869,-1.663511,17.48339,2.397995
FRA,2004,-3.246228,-1.652682,17.48967,2.400283
GBR,1960,,,17.34225,
GBR,1961,,,17.34891,
GBR,1962,,,17.36084,
GBR,1963,,,17.36671,
GBR,1964,,-1.662987,17.37029,
GBR,1965,,-1.659906,17.37192,
GBR,1966,,-1.657145,17.3736,
GBR,1967,,-1.620702,17.37337,
GBR,1968,-4.343356,-1.606661,17.37209,
GBR,1969,-4.322428,-1.642633,17.37129,2.199108
GBR,1970,-4.300021,-1.635694,17.37017,2.207879
GBR,1971,-4.281525,-1.631135,17.37192,2.219328
GBR,1972,-4.246743,-1.650395,17.37257,2.230778
GBR,1973,-4.179132,-1.58063,17.37397,2.242227
GBR,1974,-4.193361,-1.529845,17.37462,2.253675
GBR,1975,-4.200682,-1.57682,17.37633,2.265125
GBR,1976,-4.17807,-1.589784,17.38021,2.274519
GBR,1977,-4.158361,-1.640984,17.3847,2.283914
GBR,1978,-4.130431,-1.650576,17.3892,2.293308
GBR,1979,-4.10968,-1.641865,17.39508,2.302702
GBR,1980,-4.136704,-1.674377,17.40122,2.3121
GBR,1981,-4.156759,-1.764501,17.40673,2.319147
GBR,1982,-4.142765,-1.765847,17.41172,2.326321
GBR,1983,-4.115628,-1.771582,17.41931,2.333618
GBR,1984,-4.098292,-1.711473,17.42738,2.341036
GBR,1985,-4.065192,-1.706869,17.42921,2.34859
GBR,1986,-4.029042,-1.716126,17.4318,2.354057
